Coal Flow Rate (t/h),Total Air Flow Rate (t/h),Main Steam Pressure (MPa),Main Steam Temperature (C),Main Steam Flow Rate (t/h),Feed Water Temperature (C),Hot Reheat Steam Temperature (C,Condenser Vacuum (kPa),Thermal Efficiency (%),Turbine Heat Rate (kJ/kWh),Power (MW)
cfr,tafr,msp,mst,msfr,fwt,htst,cv,te,thr,power
144.51,1650.93,15.82,557.82,1205.13,271.59,555.66,-92.64,39.88,7769.75,416.01
144.3,1661.44,15.86,557.4,1190.49,270.99,558.17,-92.88,40.07,7902.16,412.95
159.2,1776.83,16.12,552.15,1255.36,272.15,561.17,-93.17,40.07,8275.23,428.88
158.01,1765.49,16,553.93,1257,272.33,555.78,-93.15,39.85,7866.69,429.03
158.22,1755.07,15.77,557.14,1247.68,272.13,557.78,-93.13,40.03,7895.53,428.68
159.1,1755.46,15.7,558.21,1248.75,272.2,560.39,-93.11,39.88,7867.61,428.79
156.75,1730.5,15.74,558.34,1249.06,271.83,561.21,-93.06,39.79,7915.71,428.71
157.35,1728.06,15.88,557.9,1253.66,272.14,559.5,-93.04,39.72,7899.17,428.79
158.01,1731.21,16.03,557.9,1258.36,272.24,559.73,-93.01,39.56,7915.77,428.97
158.31,1731.17,15.76,557.98,1262.99,272.11,559.95,-92.99,39.45,7943.68,429.16
159.33,1730.25,15.69,556.38,1267.04,272.36,557.45,-92.97,39.33,7969.75,428.24
156.73,1722.94,15.66,554.29,1249.74,272.26,564.56,-92.94,39.72,7988.57,427.84
166.6,1737.48,15.06,555.62,1259.78,269.43,562.36,-92.88,38.43,8127.97,417.29
176,1874.96,16.41,557.76,1351.91,275.44,560.3,-92.83,39.59,8182.17,454.96
172.09,1864.14,17.22,560.82,1355.56,276.54,559.7,-92.78,40.03,7972.92,460.02
169.05,1805.69,17.4,562.5,1343.14,276.43,560.47,-92.68,40.14,7856.03,458.38
155.82,1724.77,17.49,558.98,1273.25,275.2,562.02,-93.43,41.01,7860.99,444.75
144.82,1619.84,15.95,556.17,1196.35,272.24,557.54,-92.65,40.11,7699.59,414.06
159.94,1745.86,16.23,551.39,1280.07,273.21,557.69,-91.48,39.58,8215.98,429.58
147.48,1663.74,15.11,552.07,1202.88,270.95,551.18,-93.23,39.48,7969.27,406.49
179.35,1827.71,16.61,559.11,1370.38,275.97,556.45,-91.09,38.95,8188.46,452.28
190.45,1922.76,17.73,558.38,1460.24,279.78,564.91,-91.2,39.36,8107.05,483.2
166.87,1862.23,18.08,558.54,1348.81,278.51,562.19,-90.88,40.37,7861.88,459.38
156.96,1753.72,17.35,557.04,1283.07,274.56,560.4,-90.98,39.61,7819.94,434.1
165.88,1801.5,15.9,555.41,1302.06,273.82,556.26,-91.15,38.86,7996.39,432.58
183.79,1904.84,16.64,556.22,1394.56,276.55,563.24,-91.08,38.7,8072.72,458.09
190.67,2024.95,17.39,556.82,1485.23,281.24,563.74,-91.02,39.69,8159.03,492.98
186.74,2012.28,18.53,554.68,1481,281.56,559.35,-90.95,40.16,7981.87,493.39
188.91,2028.66,18.5,563.08,1478.71,281.53,563.52,-90.88,40,7900.09,494.22
170.72,1928.54,18.59,561.22,1403.62,280.26,563.73,-91.79,40.57,7931.49,477.3
157.65,1773.56,17.49,557.49,1310.08,275.88,558.03,-90.81,39.69,7800.75,441.9
144.01,1685,15.27,555.86,1166.04,270.56,562.21,-91.55,40.09,8279.86,402.97
171.82,1867.49,18.07,560.48,1365.27,278.65,561.83,-91.32,40.49,8100.49,465.16
172.52,1845.05,17.68,561.25,1390.07,278.08,562.59,-90.79,39.59,7820.44,464.06
173.53,1846.01,17.59,561.45,1392.05,278.16,561.85,-90.73,39.41,8011.11,464.17
172.13,1836.6,17.19,560.1,1389.92,278.14,562.08,-90.66,39.53,8021.5,464.28
207.22,2169.1,19.27,562.2,1618.7,285.1,566.04,-91.08,39.37,8193.21,529.59
221.54,2352.53,21.16,561.97,1750.67,289.91,563.64,-90.36,39.87,8059.05,570.65
240.46,2538.38,22.59,564.26,1901.39,294.12,564.22,-90.15,39.9,7963.62,612.94
214.21,2297.73,21.64,564.77,1767.52,291.77,566.45,-89.97,40.44,7809.56,582.89
239.76,2536.8,23.51,565.74,1969.84,296.19,566.01,-89.98,39.96,7906.99,633.81
212.27,2258.14,21.94,558.02,1778.04,291.63,564.29,-90.2,40.5,7821.52,582.44
211.54,2263.94,21.96,558.02,1775.37,291.38,566.36,-90.21,40.83,7854.48,582.95
212.1,2265.66,22.04,559.16,1776.33,291.74,563.41,-90.22,40.39,7847.03,582.17
212.76,2281,22.06,564.81,1781.8,291.79,561.96,-90.23,40.34,7851.36,583.07
210.15,2259.43,21.94,563.36,1766.55,291.66,565.73,-90.25,40.46,7852.89,581.9
211.31,2274.24,21.94,564.99,1776.12,291.55,564.64,-90.26,40.29,7843.74,583.28
210.95,2265.96,21.96,565.05,1764.65,291.63,565.71,-90.27,40.29,7869.78,582.55
210.18,2250.93,22.14,565.05,1756.61,291.65,566.17,-90.29,40.68,7832.74,583.25
211.96,2256.3,21.92,565.42,1774.94,291.79,561.69,-90.29,40.35,7788.99,582.73
214.71,2275.94,21.82,565.42,1775.41,291.8,562.59,-90.3,40.37,7859.07,582.92
212.87,2269.51,22.06,566.07,1765.06,291.68,568.29,-90.31,40.41,7860.78,583.56
212.23,2259.12,22.2,567.1,1760.26,291.85,565.39,-90.32,40.5,7838.31,582.39
212.1,2264.16,22.09,568.31,1763.42,291.63,564.81,-90.33,40.49,7821.19,583.32
208.22,2252.26,22.08,567.34,1742.06,291.46,564.79,-90.34,40.89,7826.47,580.69
159.91,1734.53,16.89,560.85,1338.15,277.71,556.83,-90.74,40.03,7680.11,456.87
149.87,1671.98,15.86,554.94,1252.84,274.34,559.51,-90.93,39.58,7806.95,427.35
182.45,1944.81,16.73,556.95,1407,276.79,562.08,-91.82,38.93,8217.49,463.31
